geounit,Polio,PAB,Hib3,HepB,DTP
French Southern and Antarctic Lands,0,0,0,0,0
Gabon,68,85,70,70,70
Gambia,97,92,96,96,96
Georgia,91,0,91,91,91
Germany,95,0,94,87,96
Ghana,98,88,98,98,98
Greece,99,0,99,96,99
Greenland,0,0,0,0,0
Grenada,81,0,0,97,97
Guam,0,0,0,0,0
Guatemala,65,85,73,73,73
Guernsey,0,0,0,0,0
Guinea,42,80,51,51,51
Guinea Bissau,78,80,80,80,80
Guyana,97,99,98,0,98
Haiti,55,81,48,98,48
Heard Island and McDonald Islands,0,0,0,0,0
Honduras,85,94,85,85,85
Hong Kong S.A.R.,0,0,0,0,0
Hungary,99,0,99,0,99
Iceland,90,0,90,0,90
India,82,87,20,70,83
Indian Ocean Territories,0,0,0,0,0
Indonesia,79,0,21,78,78
Iran,99,95,0,99,99
Iraq,67,72,64,62,64
Ireland,96,0,96,95,96
Isle of Man,0,0,0,0,0
Israel,94,0,94,97,94
Italy,94,0,94,94,94
Ivory Coast,0,0,0,0,0
Jamaica,94,80,92,92,92
Japan,99,0,0,0,98
Jersey,0,0,0,0,0
Jordan,98,90,98,98,98
Kazakhstan,95,0,95,95,95
Kenya,81,76,81,81,81
Kiribati,79,0,75,75,75
Kosovo,0,0,0,0,0
Kuwait,94,95,95,96,95
Kyrgyzstan,95,0,96,96,96
Laos,88,90,88,88,88
Latvia,92,0,92,92,92
Lebanon,75,0,81,81,81
Lesotho,95,83,96,96,96
Liberia,49,89,50,50,50
Libya,94,0,94,94,94
Liechtenstein,0,0,0,0,0
Lithuania,93,0,93,94,93
Luxembourg,99,0,99,94,99
Macao S.A.R,0,0,0,0,0
Macedonia,96,0,94,97,0
Madagascar,73,78,73,73,73
Malawi,87,89,91,91,91
Malaysia,97,90,97,96,97
Maldives,99,95,99,99,99
Mali,84,85,77,77,77
Malta,99,0,99,90,99
Marshall Islands,77,0,65,79,78
Mauritania,84,80,84,84,84
Mauritius,98,95,97,97,97
Mexico,87,88,87,84,87
Moldova,92,0,89,92,90
Monaco,99,0,99,99,99
Mongolia,99,0,99,99,99
Montenegro,91,0,91,87,91
Montserrat,0,0,0,0,0
Morocco,99,88,99,99,99
Mozambique,78,83,78,78,78
Myanmar,76,87,75,75,75
Namibia,88,85,88,88,88
Nauru,95,0,95,95,95
Nepal,92,82,92,92,92
Netherlands,96,0,96,95,96
New Caledonia,0,0,0,0,0
New Zealand,93,0,93,93,93
Nicaragua,99,81,98,98,98
Niger,67,81,68,68,68
Nigeria,66,55,66,66,66
Niue,99,0,99,99,99
Norfolk Island,0,0,0,0,0
North Korea,0,0,0,0,0
Northern Cyprus,0,0,0,0,0
Northern Mariana Islands,0,0,0,0,0
Norway,93,0,94,0,93
Oman,99,98,99,98,99
Pakistan,72,75,73,73,73
Palau,95,0,0,99,95
Palestine,0,0,0,0,0
Panama,80,0,80,80,80
Papua New Guinea,53,70,62,62,62
Paraguay,83,85,87,87,87
Peru,79,85,88,88,88
Philippines,84,87,79,79,79
Pitcairn Islands,0,0,0,0,0
Poland,95,0,99,96,99
Portugal,98,0,98,98,98
Puerto Rico,0,0,0,0,0
Qatar,99,0,99,99,99
Republic of Congo,0,0,0,0,0
Republic of Serbia,0,0,0,0,93
Romania,94,0,92,94,94
Russia,97,0,31,97,97
Rwanda,99,0,99,99,99
Saint Barthelemy,0,0,0,0,0
Saint Helena,0,0,0,0,0
Saint Kitts and Nevis,93,0,98,98,97
Saint Lucia,99,0,99,99,99
Saint Martin,0,0,0,0,0
Saint Pierre and Miquelon,0,0,0,0,0
Saint Vincent and the Grenadines,0,0,98,98,98
Samoa,91,0,91,91,91
San Marino,80,0,79,80,80
Sao Tome and Principe,95,0,95,95,95
Saudi Arabia,98,0,98,98,98
Senegal,85,91,89,89,89
Seychelles,99,0,99,99,99
Siachen Glacier,0,0,0,0,0
Sierra Leone,83,85,83,83,83
Singapore,97,0,0,97,97
Sint Maarten,0,0,0,0,0
Slovakia,97,0,97,97,97
Slovenia,95,0,95,0,95
Solomon Islands,94,85,88,88,88
Somalia,47,64,42,42,42
Somaliland,0,0,0,0,0
South Africa,71,80,70,74,70
South Georgia and South Sandwich Islands,0,0,0,0,0
South Korea,99,93,97,99,93
South Sudan,44,64,0,0,39
Spain,97,0,96,96,97
Sri Lanka,0,95,99,99,99
Sudan,94,74,94,94,94
Suriname,85,93,85,85,85
Swaziland,98,88,98,98,98
Sweden,98,0,98,42,98
Switzerland,96,0,95,0,96
Syria,52,92,43,71,43
Taiwan,0,0,0,0,0
Tajikistan,94,0,97,97,97
Tanzania,97,88,97,97,97
Thailand,99,95,0,0,99
The Bahamas,0,0,0,0,0
Togo,85,81,87,87,87
Tonga,84,0,82,82,82
Trinidad and Tobago,94,0,92,92,92
Tunisia,98,96,98,98,98
Turkey,96,90,96,96,96
Turkmenistan,98,0,97,97,98
Turks and Caicos Islands,0,0,0,0,0
Uganda,82,85,78,78,78
Ukraine,74,0,83,46,76
United Arab Emirates,94,0,94,94,94
United Kingdom,95,0,95,0,95
United States of America,93,0,93,90,94
United States Virgin Islands,0,0,0,0,0
Uruguay,95,0,95,95,95
Uzbekistan,99,0,99,99,99
Vanuatu,65,75,64,64,64
Vatican,0,0,0,0,0
Venezuela,79,75,78,78,78
Vietnam,0,91,95,95,95
Wallis and Futuna,0,0,0,0,0
Western Sahara,0,0,0,0,0
Yemen,88,70,88,88,88
Zambia,78,85,86,86,86
Zimbabwe,92,75,91,91,91
